# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,
stats,FRONTEND,,,1,2,1000,26,6696,444851,0,0,1,,,,,OPEN,,,,,,,,,1,1,0,,,,0,1,0,2,,,,0,24,0,1,0,0,,1,2,26,,,
stats,BACKEND,0,0,0,0,1000,0,6696,444851,0,0,,0,0,0,0,UP,0,0,0,,0,3136647,0,,1,1,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
bert_qaas,FRONTEND,,,8,8,1000,467,1541583624,5705953051,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,5,,,,,,,,,,,0,0,0,,,
bert_qaas,xq1.in.example.com,0,0,4,5,1000,234,1120374095,2366260217,,0,,0,224,0,0,no check,1,1,0,,,,,,1,2,1,,234,,2,0,,3,,,,,,,,,,0,,,,6,224,
bert_qaas,xq3.in.example.com,0,0,4,6,1000,233,421209529,3339692834,,0,,0,222,0,0,no check,1,1,0,,,,,,1,2,2,,233,,2,0,,2,,,,,,,,,,0,,,,7,222,
bert_qaas,BACKEND,0,0,8,8,1000,467,1541583624,5705953051,0,0,,0,446,0,0,UP,2,2,0,,0,3136647,0,,1,2,0,,467,,1,0,,5,,,,,,,,,,,,,,13,446,
bert_knobs,FRONTEND,,,0,0,1000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,3,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,
bert_knobs,xq1.in.example.com,0,0,0,0,1000,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,1,3,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,
bert_knobs,xq3.in.example.com,0,0,0,0,1000,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,1,3,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,
bert_knobs,BACKEND,0,0,0,0,1000,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,3136647,0,,1,3,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
echo_http,FRONTEND,,,0,0,1000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,4,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,
echo_http,f1.in.example.com,0,0,0,0,1000,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,1,4,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,
echo_http,f2.in.example.com,0,0,0,0,1000,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,1,4,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,
echo_http,f3.in.example.com,0,0,0,0,1000,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,1,4,3,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,
echo_http,f4.in.example.com,0,0,0,0,1000,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,1,4,4,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,
echo_http,f5.in.example.com,0,0,0,0,1000,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,1,4,5,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,
echo_http,BACKEND,0,0,0,0,1000,0,0,0,0,0,,0,0,0,0,UP,5,5,0,,0,3136647,0,,1,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
qrstuv,FRONTEND,,,8,51,1000,1333,5218374317,4978521250,0,0,0,,,,,OPEN,,,,,,,,,1,5,0,,,,0,0,0,33,,,,,,,,,,,0,0,0,,,
qrstuv,abcd.in.example.com,0,0,1,11,1000,263,762637239,729424629,,0,,0,0,0,0,no check,1,1,0,,,,,,1,5,1,,263,,2,0,,6,,,,,,,,,,0,,,,0,0,
qrstuv,abcd.in.example.com,0,0,2,11,1000,271,922439480,896042928,,0,,0,0,0,0,no check,1,1,0,,,,,,1,5,2,,271,,2,0,,7,,,,,,,,,,0,,,,0,0,
qrstuv,abcd.in.example.com,0,0,2,11,1000,272,1392243548,1312264244,,0,,0,0,0,0,no check,1,1,0,,,,,,1,5,3,,272,,2,0,,7,,,,,,,,,,0,,,,0,0,
qrstuv,abcd.in.example.com,0,0,2,11,1000,267,1401121383,1321460656,,0,,0,0,0,0,no check,1,1,0,,,,,,1,5,4,,267,,2,0,,7,,,,,,,,,,0,,,,0,0,
qrstuv,abcd.in.example.com,0,0,1,11,1000,260,739932667,719328793,,0,,0,0,0,0,no check,1,1,0,,,,,,1,5,5,,260,,2,0,,7,,,,,,,,,,0,,,,0,0,
qrstuv,BACKEND,0,0,8,51,1000,1333,5218374317,4978521250,0,0,,0,0,0,0,UP,5,5,0,,0,3136647,0,,1,5,0,,1333,,1,0,,33,,,,,,,,,,,,,,0,0,
