# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,
main,FRONTEND,,,0,0,3000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,
static,static,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,0,1,32987,32987,,1,2,1,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,0,,,,0,0,
static,BACKEND,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,DOWN,0,0,0,,1,32987,32987,,1,2,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
app,app1,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,0,1,32987,32987,,1,3,1,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,0,,,,0,0,
app,app2,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,0,1,32986,32986,,1,3,2,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,0,,,,0,0,
app,app3,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,0,1,32986,32986,,1,3,3,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,0,,,,0,0,
app,app4,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,0,1,32986,32986,,1,3,4,,0,,2,0,,0,L4CON,,0,0,0,0,0,0,0,0,,,,0,0,
app,BACKEND,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,DOWN,0,0,0,,1,32986,32986,,1,3,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
stats,FRONTEND,,,1,2,3000,7,1694,62774,0,0,1,,,,,OPEN,,,,,,,,,1,4,0,,,,0,1,0,2,,,,0,5,0,1,0,0,,1,1,7,,,
stats,BACKEND,0,0,0,0,3000,0,1694,62774,0,0,,0,0,0,0,UP,0,0,0,,0,32987,0,,1,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
